id,name,topic,review,reviewType
471,Paralel_no,"'Помни Ред,надежда - лучшее из вещей...'",10,good
472,Robert Smith,А если бы Солжениницына?,8,good
473,RomzesRzn,,10,good
474,Redefined,Спасение кроется внутри нас,,good
475,Last Wish,,10,good
476,kokashkoblin,"'Побег из Шоушенка' - гимн человеческой стойкости, несгибаемости, мужеству!",,good
477,Мэрилин Бардо,"Дружба,которая чище слез младенца",,good
478,Seo4ip,Настоящий фильм,,good
479,РыжийДемон,Дом... Тюрьма...,10,good
480,Миша-35,Побег как торжество справедливости,10,good
481,Барри Креститель,,10,good
482,Ляля_Радужная,Начни жить. Или начни умирать.,10,good
483,Мерсисайд,"Птица, не рожденная для клетки",10,good
484,Обычный человек,Картина века,10,good
485,Unrealler,Такой прекрасный мир,,good
486,pavydlo,,10,good
487,KOBRA999,Истинная свобода.,,good
488,Элис_666,Занимайся жизнью или занимайся смертью.,10,good
489,genry-geil,все об этом фильме уже сказано.,10,good
490,Mysterial,Жестокая правда жизни!,10,good
491,Beseda,"изменяй других,не изменяя себе",,good
492,MrRage,Останься человеком...,,good
493,Kama888,,,good
494,MC LOUD,,10,good
495,Inky,`Начни жить или начни умирать` (c) Ellis Boyd `Red` Redding,,good
496,Нейовович,,10,good
497,IvKos,"Хоошо снаружи, гениально внутри",10,good
498,Al Swan,Просто шедевр!,10,good
499,IDma,Занимайся жизнью или занимайся смертью,10,good
500,Dim4ig,Непродуманный побег...,2,bad
501,Gellar,Самое главное - оставаться человеком! Не смотря ни на что!,10,good
502,Vitekchainik,Помни ... надежда самое лучшее из вещей. Она никогда не умирает.,10,good
503,pavito,Довольно интересный фильм,8,good
504,Noise_BOMB,"Нет слов, одни впечатления...",10,good
505,Zybek,"'Надежда самое лучшее из вещей, она никогда не умирает'",9,good
506,IrinaAnton,Гениально!!!,,good
507,holloway777,"Свобода, надежда, жизнь!..",,good
508,Денилсон,,10,good
509,Gerard,Шедевральное кино,10,neutral
510,NeoArtS,,,good
511,nokia6500,Ни одной отрицательной рецензии,8,neutral
512,Wanted033,"Фильм, врезающийся в память...",,good
513,bekind,Надежда - самое прекрасное чувство. Оно никогда не умирает...(с),,good
514,adel-dream,,10,good
515,81a112,О надежде,10,good
516,МистикоМан,Мой любимый фильм,,good
517,Ри,"Мы здесь все невиновны, ты разве не знаешь?",,good
518,russ28,,10,good
519,Alenalove,"Любая верёвка, как правило, имеет два конца.",,good
520,Flat-Fish,"Внутри человека есть место, до которого никто не может добраться...",10,good
521,Megaslavik,Несмотря ни на что,10,good
522,sashanpsk,Типичное голливудское кино.,5,bad
523,ShYnTiK,"А здесь все невиновны. Ты что, не знал?",10,good
524,MadMuzMan,Вторая попытка...,10,good
525,kosha-a,Хорошие вещи не умирают.,,good
526,sapalakalusha,Этот фильм стоит пересматривать!,10,good
527,МинЗдрав,"Вверьте душу Господу, потому что ваши задницы принадлежат мне.",,good
528,Мария Ремарк,«Побег из Шоушенка»,9,good
529,mrSt16,Плохой отзыв,,bad
530,NewArtS,,,good
531,Crazy Lily,Страх-это кандалы,10,good
532,zubka,"Обрести себя там, где, казалось бы, это сделать невозможно...",10,good
533,RenJiro_,Если человек никогда не теряет надежды он сможет всё!!!,,good
534,Gretchen,Он не заплакал.,,neutral
535,my Blueberry love,"'Рэд, надежда — хорошая вещь, может быть самая лучшая из всех, а хорошие вещи не умирают'.",10,good
536,Lilian P.,Сила веры,10,good
537,white_fluffy,,,neutral
538,trifath,чёрт-подери а ведь фильм то отличный !,10,neutral
539,FCauperwood,На волю...,9,good
540,ekorolev,А у вас есть друг? У вас есть мечта?,,good
541,fefangrek,#53,8,good
542,BalluX,,8,good
543,Liberto,,,neutral
544,MeW,Не всё вокруг - серые камни,10,good
545,Арсений93,Надежда - это свобода,10,good
546,zeppsaw,,6,neutral
547,DLUHHbIU,Дорога из ада,10,good
548,God of emptiness,,,neutral
549,DJ Dennis Blast,,10,good
550,eds,"Великий фильм, великий режиссер, великое чувство!..",,good
551,Ortodoxius,Почувствуй себя невиновным,,good
552,Angel-Anny,"Некоторых птиц в неволе не удержишь, их перья слишком яркие, и, когда они улетают, часть тебя понимает - нельзя держать их взаперти, но то место, где ты живёшь, становится мрачнее после того, как они улетели.",,good
553,Ксандрия,Невидимые крилья,10,good
554,Фюльгья,Это - экранизация...,9,good
555,Paradoksov_drug,Добавим позитива Стивену Кингу.,9,good
556,Lizzzok03,- Надежда умирает последней?.. - Нет. Она бессмертна!,10,good
557,Thing,- «Но в графе Монте-Кристо тоже говорится о том как можно убежать из тюрьмы…» - «Значит положи его в „Образование“»,,good
558,Murlyka,,,good
559,Ledy Esmeralda,,,neutral
560,nadin23,Терпение и труд,10,good
561,terzet,Побег из тюрьмы строгого режима...,10,good
562,Bondianos123,ЭТо отлично,,good
563,НИК94,Надежда - хорошая вещь.,,good
564,xxxVidocqxxx,"Надежда, или Solvation lies within",10,good
565,vital_and_mortal,"Если ты прав, справедливость возьмёт вверх над обстоятельствами",,neutral
566,ОлегМеньшиков,Искупление Шоушенком,,good
567,Vsmisle,"...ТЕЛО ВЗАПЕРТИ, РАЗУМ К СВОБОДЕ...",,bad
568,СВОЙ,,,neutral
569,ZloyEjik,,8,good
570,Mr.Monster,"Сильно, но не реально.",,neutral
571,Leonidass,Великолепно,10,good
572,GreekIY,Жизнь как одно мгновение.,10,good
573,GrallexVill,"'Надежда - это хорошая вещь, а хорошие вещи не умирают '",10,good
574,Trokvedlu,Бороться всегда! Бороться за свободу!,,neutral
575,Billy Costigan,Каждый человек внутри герой...,,good
576,,,,good
577,Another_Boy,,,good
578,Боб,"Железная воля, бриллиантовый фильм",10,good
579,LYzzER,"Внутри человека есть место, до которого никто не может добраться...",,good
580,davidenkoars,,8,good
581,Ганс Касторп,,,good
582,DavidHayter,"Есть птицы, которых не удержишь в клетке",10,good
583,NikolasDreik,История справедливого побега,,good
584,Emmaus,Главное в жизни - это стремление жить,10,good
585,РэйнМэн,"Беги, Энди, Беги!",10,good
586,valentine,Занимайся жизнью или занимайся смертью,10,good
587,1985,,,neutral
588,andros,,8,good
589,Jewel,,,good
590,Luter,,10,good
591,Denakin,,10,good
592,Ливлли,,,good
593,IngushonOK,,,good
594,Badmozg,,7,neutral
595,kazik,,,good
596,Алёна,,,neutral
